User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_16,10,strategy,Strategy,0.2013368337729368
persona_16,10,response,Response,0.09001508785559843
persona_48,2,whole,Whole,0.10378058770446244
persona_48,2,state_analysis,State Analysis,0.12004635814579562
persona_48,2,strategy,Strategy,0.15238326597047086
persona_48,2,response,Response,0.08844587153062558
persona_48,3,whole,Whole,0.10043748645630342
persona_48,3,state_analysis,State Analysis,0.08520621216592995
persona_48,3,strategy,Strategy,0.14769626038344935
persona_48,3,response,Response,0.11353117006595947
persona_48,4,whole,Whole,0.09474191230264752
persona_48,4,state_analysis,State Analysis,0.12376704884115815
persona_48,4,strategy,Strategy,0.08262399679667946
persona_48,4,response,Response,0.1548237308304524
persona_48,5,whole,Whole,0.1355025403090406
persona_48,5,state_analysis,State Analysis,0.11545616607792435
persona_48,5,strategy,Strategy,0.13123749501205498
persona_48,5,response,Response,0.16706814917194113
persona_48,6,whole,Whole,0.17791707760055422
persona_48,6,state_analysis,State Analysis,0.12083805509124393
persona_48,6,strategy,Strategy,0.12613323996714115
persona_48,6,response,Response,0.03974169293801637
persona_48,7,whole,Whole,0.17096055661922213
persona_48,7,state_analysis,State Analysis,0.14651226564444333
persona_48,7,strategy,Strategy,0.0
persona_48,7,response,Response,0.1259836062847441
persona_48,8,whole,Whole,0.0892464790625944
persona_48,8,state_analysis,State Analysis,0.034878763546707506
persona_48,8,strategy,Strategy,0.11494070361318463
persona_48,8,response,Response,0.10739054589228923
persona_48,9,whole,Whole,0.12794527597783284
persona_48,9,state_analysis,State Analysis,0.07185852756630541
persona_48,9,strategy,Strategy,0.0
persona_48,9,response,Response,0.14483136494669716
persona_48,10,whole,Whole,0.1598442834993229
persona_48,10,state_analysis,State Analysis,0.14472364940057114
persona_48,10,strategy,Strategy,0.0
persona_48,10,response,Response,0.13152030702596473
persona_112,2,whole,Whole,0.1346505720415249
persona_112,2,state_analysis,State Analysis,0.1701638745765986
persona_112,2,strategy,Strategy,0.10482166809966631
persona_112,2,response,Response,0.10747117347058241
persona_112,3,whole,Whole,0.08752274456018187
persona_112,3,state_analysis,State Analysis,0.0579459072653033
persona_112,3,strategy,Strategy,0.07919786084992793
persona_112,3,response,Response,0.12344583781348545
persona_112,4,whole,Whole,0.1463639641596722
persona_112,4,state_analysis,State Analysis,0.12520317356377067
persona_112,4,strategy,Strategy,0.12250004051729577
persona_112,4,response,Response,0.13721108400667825
persona_112,5,whole,Whole,0.18606949302713885
persona_112,5,state_analysis,State Analysis,0.09118758851707236
persona_112,5,strategy,Strategy,0.1316697120169438
persona_112,5,response,Response,0.1750941519581251
persona_112,6,whole,Whole,0.1727504706496347
persona_112,6,state_analysis,State Analysis,0.14368068745502235
persona_112,6,strategy,Strategy,0.10413188094473522
persona_112,6,response,Response,0.1614518922564666
persona_112,7,whole,Whole,0.14224764647609703
persona_112,7,state_analysis,State Analysis,0.15267719204375665
persona_112,7,strategy,Strategy,0.09233850951079568
persona_112,7,response,Response,0.1260529847126963
persona_112,8,whole,Whole,0.16879543753776527
persona_112,8,state_analysis,State Analysis,0.13693196495553192
persona_112,8,strategy,Strategy,0.0
persona_112,8,response,Response,0.13021024852213287
persona_112,9,whole,Whole,0.16074422952964
persona_112,9,state_analysis,State Analysis,0.15834787771119513
persona_112,9,strategy,Strategy,0.0
persona_112,9,response,Response,0.1355175663572604
persona_112,10,whole,Whole,0.17659519474535318
persona_112,10,state_analysis,State Analysis,0.19948299059355828
persona_112,10,strategy,Strategy,0.011471671080433102
persona_112,10,response,Response,0.107484305960387
persona_120,2,whole,Whole,0.1456696656743012
persona_120,2,state_analysis,State Analysis,0.09773960673284478
persona_120,2,strategy,Strategy,0.07448197166312245
persona_120,2,response,Response,0.20382403206367133
persona_120,3,whole,Whole,0.13933797990821797
persona_120,3,state_analysis,State Analysis,0.07256252883974589
persona_120,3,strategy,Strategy,0.07332699724590089
persona_120,3,response,Response,0.15882639947961005
persona_120,4,whole,Whole,0.19000945810821374
persona_120,4,state_analysis,State Analysis,0.16510563893873484
persona_120,4,strategy,Strategy,0.08350598703591675
persona_120,4,response,Response,0.12894515822348027
persona_120,5,whole,Whole,0.08998140474537498
persona_120,5,state_analysis,State Analysis,0.0352127566506918
persona_120,5,strategy,Strategy,0.1894314001682187
persona_120,5,response,Response,0.10660749976675268
persona_120,6,whole,Whole,0.08842778069714204
persona_120,6,state_analysis,State Analysis,0.0892909566192427
persona_120,6,strategy,Strategy,0.0
persona_120,6,response,Response,0.1030738686293939
persona_120,7,whole,Whole,0.17180782843824316
persona_120,7,state_analysis,State Analysis,0.17119562444605618
persona_120,7,strategy,Strategy,0.10607594828475271
persona_120,7,response,Response,0.14092758718976847
persona_120,8,whole,Whole,0.20019514067254876
persona_120,8,state_analysis,State Analysis,0.12080795077309346
persona_120,8,strategy,Strategy,0.09843497893346195
persona_120,8,response,Response,0.1588484639963824
persona_120,9,whole,Whole,0.12578649385496654
persona_120,9,state_analysis,State Analysis,0.10073350393002503
persona_120,9,strategy,Strategy,0.06883000180054548
persona_120,9,response,Response,0.12122152094158889
persona_120,10,whole,Whole,0.11764343869725492
persona_120,10,state_analysis,State Analysis,0.1383655561690724
persona_120,10,strategy,Strategy,0.0
persona_120,10,response,Response,0.09078420912080822
persona_259,2,whole,Whole,0.09548133944165112
persona_259,2,state_analysis,State Analysis,0.13954665144923112
persona_259,2,strategy,Strategy,0.07658807582909938
persona_259,2,response,Response,0.09653357436947807
persona_259,3,whole,Whole,0.12877127599426078
persona_259,3,state_analysis,State Analysis,0.1854772021152748
persona_259,3,strategy,Strategy,0.09227670282098906
persona_259,3,response,Response,0.11118564643485417
persona_259,4,whole,Whole,0.0998150142436713
persona_259,4,state_analysis,State Analysis,0.09814824199518894
persona_259,4,strategy,Strategy,0.06885794670541748
persona_259,4,response,Response,0.13236404723945583
persona_259,5,whole,Whole,0.14338074894618608
persona_259,5,state_analysis,State Analysis,0.09756768133225847
persona_259,5,strategy,Strategy,0.11798392694815593
persona_259,5,response,Response,0.17352317050539823
persona_259,6,whole,Whole,0.14966521111775433
persona_259,6,state_analysis,State Analysis,0.1877893627310876
persona_259,6,strategy,Strategy,0.18392161126159737
persona_259,6,response,Response,0.1400405433585087
persona_259,7,whole,Whole,0.16168901254171208
persona_259,7,state_analysis,State Analysis,0.13165314293674452
persona_259,7,strategy,Strategy,0.0
persona_259,7,response,Response,0.010633408218120895
persona_259,8,whole,Whole,0.14774467825910947
persona_259,8,state_analysis,State Analysis,0.11094556157556146
persona_259,8,strategy,Strategy,0.0633276867843361
persona_259,8,response,Response,0.1091098550509636
persona_259,9,whole,Whole,0.19193700119783255
persona_259,9,state_analysis,State Analysis,0.13817836375346065
persona_259,9,strategy,Strategy,0.19513169564604874
persona_259,9,response,Response,0.1645842936481527
persona_14,2,whole,Whole,0.14254017922657194
persona_14,2,state_analysis,State Analysis,0.16593833100060792
persona_14,2,strategy,Strategy,0.1396689202041979
persona_14,2,response,Response,0.13777577085311274
persona_14,3,whole,Whole,0.0986708627842897
persona_14,3,state_analysis,State Analysis,0.09162012733914454
persona_14,3,strategy,Strategy,0.0
persona_14,3,response,Response,0.1244359165240437
persona_14,4,whole,Whole,0.16126320830307048
persona_14,4,state_analysis,State Analysis,0.11861299571167326
persona_14,4,strategy,Strategy,0.08157607274005692
persona_14,4,response,Response,0.14068834672946914
persona_14,5,whole,Whole,0.08900978266213345
persona_14,5,state_analysis,State Analysis,0.09312975128508924
persona_14,5,strategy,Strategy,0.10645711498445327
persona_14,5,response,Response,0.15216383464727445
persona_14,6,whole,Whole,0.11791145106774976
persona_14,6,state_analysis,State Analysis,0.1464345032538218
persona_14,6,strategy,Strategy,0.12016631038930274
persona_14,6,response,Response,0.06840503627289705
persona_14,7,whole,Whole,0.11845461758159974
persona_14,7,state_analysis,State Analysis,0.10526628926288024
persona_14,7,strategy,Strategy,0.0
persona_14,7,response,Response,0.147510563550328
persona_288,2,whole,Whole,0.10670031773326943
persona_288,2,state_analysis,State Analysis,0.12049590795259585
persona_288,2,strategy,Strategy,0.05218261031914927
persona_288,2,response,Response,0.17188242538630016
